Activity,TS[3]_MN_F_AB_nCi_2_NS13_H_A_LGP[3-6]_e_MAS,GV[4]_GM_F_BB_nCi_2_SS12_P_LGP[1-7]_dc4_MAS,TS[5]_P2_F_AB_nCi_2_SS12_H_n_C_LGP[3-8]_ec_MAS,GV[4]_Q3_F_BB_nCi_2_SS15_H_T_LGP[3-8]_c_MAS,ES_I50_F_AB_nCi_2_NS8_n_T_LGP[2-6]_dc4_MAS,AC[1]_SD_F_AB_nCi_2_MP7_H_D_LGP[3-5]_psa_MAS,GV[2]_P3_F_AB_nCi_2_MP3_n_P_LGP[2-4]_m_MAS,TIC_F_AB_nCi_2_SS3_n_A_SRW_e_MAS,TS[5]_HM_F_BB_nCi_2_MP10_H_C_LGP[1-4]_hx_MAS,AC[2]_P3_F_BB_nCi_2_MP13_T_LGP[4]_dc2_MAS,GV[3]_V_F_AB_nCi_2_SS13_A_LGP[3]_p_MAS,AC[2]_MN_F_AB_nCi_2_NS7_n_P_LGP[3-8]_ku_MAS,TS[6]_Q3_F_BB_nCi_2_NS7_H_P_LGP[2-6]_dc2_MAS,TS[4]_I50_F_BB_nCi_2_SS10_T_LGP[4-6]_hx_MAS,GV[2]_Q1_F_AB_nCi_2_MP14_H_T_LGP[4-8]_psa_MAS,GV[2]_V_F_AB_nCi_2_SS14_n_X_LGP[1-3]_e_MAS,AC[6]_Q3_F_BB_nCi_2_SS5_H_A_LGP[2-3]_hx_MAS,GV[3]_N2_F_BB_nCi_2_SS11_X_LGP[4-7]_hx_MAS
6.11,31923.56,0,5.735238397,1.27E-05,58854.05739,6.12E-04,0,38.95754329,0.169111048,2.69E-04,0.146795443,0,0,0.331010594,5.22E-04,1.097662583,0.922180753,0.352079122
9,195805.04,0,6.742336934,2.98E-05,125825.51,1.94E-05,0,45.49134181,0.193202863,2.01E-04,0.230896706,0,0,0.349049215,3.79E-04,0.423217189,1.53162344,0.98231128
7.64,30832.56,0,6.859154342,9.46E-06,49777.86137,4.51E-05,0,20.08368796,0.233377147,2.75E-04,0.171963236,0,0,0.254453543,2.33E-04,0.294076459,0.133659741,0.198765441
7.31,30965.28,0,6.918005193,9.98E-06,48369.22822,2.99E-05,0,20.54961113,0.231426986,3.00E-04,0.166439261,0,0,0.162956323,1.97E-04,0.254696407,0.079028733,0.193884226
7.3,0,0.016735312,10.2706963,2.12E-05,50580.28944,1.59E-05,4.88E-05,32.98044999,0.09160993,2.02E-04,0.183209354,0,8702.75,0.35206771,3.60E-05,0.185919851,0.48682923,0.513293285
8.54,19311.36,0.014176557,15.18923339,2.00E-05,36459.89922,2.36E-05,3.19E-05,55.34141974,0.069374171,1.90E-04,0.455534304,0,1856.25,0.54189487,1.34E-05,0.41308663,0.697945548,0.599346893
8.52,0,0.005889116,11.43338775,2.09E-05,34814.59097,2.20E-05,4.80E-05,41.50080992,0.114215888,2.04E-04,0.448854227,0,9372,0.411540295,1.24E-05,0.227458118,0.363325615,0.645089794
8.92,0,0.011250266,10.36746893,2.01E-05,35428.19215,2.44E-05,4.85E-05,37.03775472,0.117790644,2.10E-04,0.348260389,0,9416.25,0.367256226,1.44E-05,0.217725852,0.499148554,0.518119104
8.92,0,0.004630614,12.4861563,2.10E-05,39388.87497,3.09E-05,4.39E-05,44.64278298,0.106922007,2.19E-04,0.410653997,0,5758.25,0.728116595,7.32E-06,0.206598636,0.449433639,1.069421819
8.96,0,0.019999512,10.30151643,1.66E-05,32106.48347,1.08E-05,8.23E-05,38.77395325,0.021840616,9.51E-05,0.254759117,0,13508.25,0.477457808,2.32E-06,0.18389946,0.409070463,0.403046551
8.55,30509.44,0.009609286,10.86102377,2.42E-05,35270.29474,8.16E-05,5.17E-05,43.15278265,0.116976369,1.94E-04,0.336847045,0,9537.75,0.458491443,2.74E-05,0.226677667,0.529051952,0.487543266
9.22,0,0.005874188,11.03261937,2.37E-05,43936.5596,2.19E-05,3.87E-05,37.94340066,0.120005899,2.09E-04,0.481909025,0,9372,0.417609941,2.93E-05,0.19253164,0.386653238,0.903484086
