Activity,TIC_F_AB_nCi_2_SS3_n_A_SRW_e_MAS,TS[5]_P2_F_AB_nCi_2_SS12_H_n_C_LGP[3-8]_ec_MAS,TS[5]_HM_F_BB_nCi_2_MP10_H_C_LGP[1-4]_hx_MAS,AC[1]_SD_F_AB_nCi_2_MP7_H_D_LGP[3-5]_psa_MAS,TS[3]_MN_F_AB_nCi_2_NS13_H_A_LGP[3-6]_e_MAS,AC[6]_Q3_F_BB_nCi_2_SS5_H_A_LGP[2-3]_hx_MAS,GV[2]_Q1_F_AB_nCi_2_MP14_H_T_LGP[4-8]_psa_MAS,GV[3]_N2_F_BB_nCi_2_SS11_X_LGP[4-7]_hx_MAS
6.11,38.95754329,5.735238397,0.169111048,0.000612,31923.56,0.922180753,0.000522,0.352079122
9,45.49134181,6.742336934,0.193202863,1.94E-05,195805.04,1.53162344,0.000379,0.98231128
7.64,20.08368796,6.859154342,0.233377147,4.51E-05,30832.56,0.133659741,0.000233,0.198765441
7.31,20.54961113,6.918005193,0.231426986,2.99E-05,30965.28,0.079028733,0.000197,0.193884226
7.3,32.98044999,10.2706963,0.09160993,1.59E-05,0,0.48682923,3.60E-05,0.513293285
8.54,55.34141974,15.18923339,0.069374171,2.36E-05,19311.36,0.697945548,1.34E-05,0.599346893
8.52,41.50080992,11.43338775,0.114215888,2.20E-05,0,0.363325615,1.24E-05,0.645089794
8.92,37.03775472,10.36746893,0.117790644,2.44E-05,0,0.499148554,1.44E-05,0.518119104
8.92,44.64278298,12.4861563,0.106922007,3.09E-05,0,0.449433639,7.32E-06,1.069421819
8.96,38.77395325,10.30151643,0.021840616,1.08E-05,0,0.409070463,2.32E-06,0.403046551
8.55,43.15278265,10.86102377,0.116976369,8.16E-05,30509.44,0.529051952,2.74E-05,0.487543266
9.22,37.94340066,11.03261937,0.120005899,2.19E-05,0,0.386653238,2.93E-05,0.903484086
8,47.96089998,8.641883632,0.080978122,1.41E-05,23797.12,0.42614631,1.14E-05,1.245877141
8.11,50.87733186,10.54743933,0.0804383,1.42E-05,23801.68,0.484327282,1.12E-05,1.003045401
7.92,41.5409856,9.723297273,0.074675546,4.21E-06,24108.72,0.186994023,9.23E-06,0.28967269
8.15,38.55223172,9.249486543,0.095106653,5.15E-05,0,0.548634634,2.93E-05,0.625976289
5.55,15.70950594,2.890286184,0.316884566,0.000154,0,0.409713721,0,0.148130883
6.07,18.40226335,4.063126259,0.298784891,0.000369,0,0.205220768,0,0.177833535
6.37,21.38115197,4.597376372,0.146157792,4.86E-05,3553.2,0.061291266,3.17E-06,0.340711174
6.7,17.57639132,5.80256616,0.22623954,5.87E-05,30811,0.150981831,0.000372,0.251755794
2.7,20.7548875,2.839039746,0.289866893,0.000649,0,0.842654264,0,0.25299929
2.87,26.45423188,4.106357557,0.272204392,0.000453,0,0.819555837,7.46E-05,0.205968082
4.96,20.08368796,6.859154342,0.233377147,4.51E-05,30832.56,0.133659741,0.000233,0.198765441
2.74,17.57639132,5.80256616,0.22623954,5.87E-05,30811,0.150981831,0.000372,0.251755794
2.96,28.07403392,6.029760824,0.184801093,0.000303,0,0.507785902,0.000152,0.172940231
2.98,28.78071905,7.537043355,0.16132204,0.000254,0,0.43318552,0.000212,0.220878939
3.26,30.60490642,4.71022815,0.138716504,5.83E-05,3565.96,0.426052899,1.02E-05,0.414678053
3.35,21.36806555,4.771352044,0.199752757,0.000197,30701.68,0.790595951,0.000129,0.093064352
3.38,25.38407799,6.752173195,0.208079818,9.80E-05,30726.28,0.402510895,0.000305,0.14903085
3.89,25.94625219,8.037400164,0.168534954,8.14E-05,30726.28,0.274858048,0.000181,0.212460158
3.22,25.94625219,4.048421419,0.152201012,6.36E-05,3551.68,0.426872363,2.33E-05,0.247637381
3.72,24.46731829,5.047324877,0.145208346,5.99E-05,3551.68,0.469650524,2.15E-05,0.20766779
4.28,25.40765385,6.400921508,0.102333127,5.71E-05,3551.68,0.218753688,1.79E-05,0.215395562
4.77,20.54961113,8.721630608,0.226831436,0,30991.6,0.175307175,9.47E-05,0.496965425
2.96,8.877840559,3.565951894,0.284469469,0,0,0,0,0.043598841
3.19,17.57639132,5.622908087,0.23222735,6.57E-05,15375.84,0.092116333,0.000256,0.120006568
3.48,28.07403392,5.883711749,0.217046098,4.46E-05,31757.8,0.566265922,0.000129,0.304331035
5.31,31.4331205,7.909681342,0.191591461,3.77E-05,58133.28,0.296294379,0.000234,0.274430394
5.62,36.26758735,7.336734805,0.182403152,0.00013,56788.08,0.633872821,0.000448,0.596977801
4.32,29.47067499,5.429367732,0.20387572,4.78E-05,32037.24,0.969102363,0.000448,0.209062911
7.92,66.07820003,14.12833322,0.064065867,2.16E-05,0,0.651341345,1.44E-05,1.106331211
6.41,55.76133412,13.17972833,0.069271867,1.72E-05,1516.4,0.693620749,2.98E-05,0.595659805
9.6,62.89724613,11.34207107,0.060928838,4.82E-06,9853.92,0.511676809,6.78E-06,0.8961252
8.46,68.27118598,19.04351849,0.047731471,1.55E-05,0,0.551544503,9.06E-06,1.094293957
7.82,61.03928295,19.62184967,0.061623726,8.46E-06,49843.52,0.499822061,1.72E-05,0.784053437
7.92,50.76815597,16.5990931,0.083518994,5.72E-05,0,0.541665116,5.46E-05,0.550968652
7,45.95807501,15.74183824,0.052453869,2.11E-05,2886.64,0.506327211,2.16E-05,0.424765861
6.66,45.95807501,15.74183824,0.052453869,2.11E-05,2886.64,0.506327211,2.16E-05,0.424765861
7.44,49.09922226,13.58025954,0.100595059,3.46E-06,0,0.403844002,6.74E-06,1.10846962
9.31,51.51136223,17.48943721,0.071877539,2.14E-06,0,0.280343122,3.64E-06,1.398727969
9.88,51.51136223,13.42079989,0.087967156,1.55E-06,0,0.33412271,2.41E-06,1.359604467
9.05,51.86832567,14.37226353,0.0878738,1.45E-06,0,0.313658711,1.80E-06,1.349357916
9.28,51.86832567,13.62128761,0.093442017,1.61E-06,0,0.319881698,3.48E-06,1.793329862
9.28,49.96089998,14.14504821,0.09745869,3.21E-06,0,0.379727995,7.37E-06,1.545912096
