Activity,TS[3]_MN_F_AB_nCi_2_NS13_H_A_LGP[3-6]_e_MAS,TS[5]_P2_F_AB_nCi_2_SS12_H_n_C_LGP[3-8]_ec_MAS,AC[1]_SD_F_AB_nCi_2_MP7_H_D_LGP[3-5]_psa_MAS,TIC_F_AB_nCi_2_SS3_n_A_SRW_e_MAS,TS[5]_HM_F_BB_nCi_2_MP10_H_C_LGP[1-4]_hx_MAS,GV[2]_V_F_AB_nCi_2_SS14_n_X_LGP[1-3]_e_MAS,AC[6]_Q3_F_BB_nCi_2_SS5_H_A_LGP[2-3]_hx_MAS,GV[3]_N2_F_BB_nCi_2_SS11_X_LGP[4-7]_hx_MAS
6.11,31923.56,5.735238397,0.000612,38.95754329,0.169111048,1.097662583,0.922180753,0.352079122
9,195805.04,6.742336934,1.94E-05,45.49134181,0.193202863,0.423217189,1.53162344,0.98231128
7.64,30832.56,6.859154342,4.51E-05,20.08368796,0.233377147,0.294076459,0.133659741,0.198765441
7.31,30965.28,6.918005193,2.99E-05,20.54961113,0.231426986,0.254696407,0.079028733,0.193884226
7.3,0,10.2706963,1.59E-05,32.98044999,0.09160993,0.185919851,0.48682923,0.513293285
8.54,19311.36,15.18923339,2.36E-05,55.34141974,0.069374171,0.41308663,0.697945548,0.599346893
8.52,0,11.43338775,2.20E-05,41.50080992,0.114215888,0.227458118,0.363325615,0.645089794
8.92,0,10.36746893,2.44E-05,37.03775472,0.117790644,0.217725852,0.499148554,0.518119104
8.92,0,12.4861563,3.09E-05,44.64278298,0.106922007,0.206598636,0.449433639,1.069421819
8.96,0,10.30151643,1.08E-05,38.77395325,0.021840616,0.18389946,0.409070463,0.403046551
8.55,30509.44,10.86102377,8.16E-05,43.15278265,0.116976369,0.226677667,0.529051952,0.487543266
9.22,0,11.03261937,2.19E-05,37.94340066,0.120005899,0.19253164,0.386653238,0.903484086
8,23797.12,8.641883632,1.41E-05,47.96089998,0.080978122,0.129880731,0.42614631,1.245877141
8.11,23801.68,10.54743933,1.42E-05,50.87733186,0.0804383,0.157611861,0.484327282,1.003045401
7.92,24108.72,9.723297273,4.21E-06,41.5409856,0.074675546,0.118093358,0.186994023,0.28967269
8.15,0,9.249486543,5.15E-05,38.55223172,0.095106653,0.416959169,0.548634634,0.625976289
5.55,0,2.890286184,0.000154,15.70950594,0.316884566,0.262470278,0.409713721,0.148130883
6.07,0,4.063126259,0.000369,18.40226335,0.298784891,0.279149093,0.205220768,0.177833535
6.37,3553.2,4.597376372,4.86E-05,21.38115197,0.146157792,0.1641918,0.061291266,0.340711174
6.7,30811,5.80256616,5.87E-05,17.57639132,0.22623954,0.265348432,0.150981831,0.251755794
2.7,0,2.839039746,0.000649,20.7548875,0.289866893,0.185143524,0.842654264,0.25299929
2.87,0,4.106357557,0.000453,26.45423188,0.272204392,0.209871638,0.819555837,0.205968082
